Name,Author,User Rating,Reviews,Price,Genre,Year
rxwctr,crwtgxrtx,1.1,2,2011,Fiction,
dasdd,3wdewqd,3.0,3,2015,Fiction,
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17,Non Fiction,2009.0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5,Non Fiction,2009.0
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,13,Fiction,2009.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,Non Fiction,2009.0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,1541,4,Fiction,2009.0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,3837,15,Fiction,2009.0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,37,6,Non Fiction,2009.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,3181,12,Fiction,2009.0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,Non Fiction,2009.0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,Non Fiction,2009.0
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,Fiction,2009.0
Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,Fiction,2009.0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365,11,Non Fiction,2009.0
Going Rogue: An American Life,Sarah Palin,4.6,1636,6,Non Fiction,2009.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,Non Fiction,2009.0
Have a Little Faith: A True Story,Mitch Albom,4.8,1930,4,Non Fiction,2009.0
"I, Alex Cross",James Patterson,4.6,1320,7,Fiction,2009.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,Non Fiction,2009.0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,Non Fiction,2009.0
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,Fiction,2009.0
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,Fiction,2009.0
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,Non Fiction,2009.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,Non Fiction,2009.0
Sookie Stackhouse,Charlaine Harris,4.7,973,25,Fiction,2009.0
StrengthsFinder 2.0,Gallup,4.0,5069,17,Non Fiction,2009.0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,Non Fiction,2009.0
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,Non Fiction,2009.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,24,Non Fiction,2009.0
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53,Non Fiction,2009.0
The Elegance of the Hedgehog,Muriel Barbery,4.0,1859,11,Fiction,2009.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,Non Fiction,2009.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9,Non Fiction,2009.0
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,Fiction,2009.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,Fiction,2009.0
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,Fiction,2009.0
The Help,Kathryn Stockett,4.8,13871,6,Fiction,2009.0
The Last Lecture,Randy Pausch,4.7,4028,9,Non Fiction,2009.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,Fiction,2009.0
The Lost Symbol,Dan Brown,4.2,8747,19,Fiction,2009.0
The Love Dare,Stephen Kendrick,4.8,1655,13,Non Fiction,2009.0
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,Fiction,2009.0
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,Fiction,2009.0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,Non Fiction,2009.0
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,Fiction,2009.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,Non Fiction,2009.0
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,Non Fiction,2009.0
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,Fiction,2009.0
Under the Dome: A Novel,Stephen King,4.3,6740,20,Fiction,2009.0
Watchmen,Alan Moore,4.8,3829,42,Fiction,2009.0
Where the Wild Things Are,Maurice Sendak,4.8,9967,13,Fiction,2009.0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,Non Fiction,2010.0
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,Non Fiction,2010.0
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21,Non Fiction,2010.0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,Non Fiction,2010.0
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,Fiction,2010.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,14,Non Fiction,2010.0
Cutting for Stone,Abraham Verghese,4.6,4866,11,Fiction,2010.0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,Fiction,2010.0
Decision Points,George W. Bush,4.6,2137,17,Non Fiction,2010.0
